Time(ns) Atom xpos(nm) ypos(nm) zpos(nm)
0.002 72 3.43559 6.73466 3.40281
0.002 73 4.9013 6.65422 3.31589
0.002 74 6.69013 6.70929 3.28712
0.002 75 0.0344327 0.0657202 5.03252
0.002 76 1.70252 0.0685449 4.96795
0.002 77 3.44197 0.169455 5.02141
0.002 78 5.03551 0.118743 5.04684
0.002 79 6.68617 0.0375956 5.04218
0.002 80 0.0196147 1.78279 4.99422
0.002 81 1.69822 1.68092 5.05418
0.002 82 3.4851 1.76414 5.10228
0.002 83 5.04504 1.73153 4.98675
0.002 84 6.75397 1.82295 5.07722
0.002 85 0.0895519 3.28071 5.01908
0.002 86 1.67247 3.51712 5.07818
0.002 87 3.43041 3.38731 4.97354
0.002 88 5.02335 3.43593 5.05922
0.002 89 6.68148 3.47117 5.05667
0.002 90 9.94432 5.0002 5.05799
0.002 91 1.80118 5.00924 5.00611
0.002 92 3.52402 4.92753 4.99186
0.002 93 5.0548 5.01581 5.09323
0.002 94 6.70677 4.93559 5.10099
0.002 95 0.171726 6.81994 5.11502
0.002 96 1.65475 6.71126 5.0726
0.002 97 3.28454 6.7106 5.08507
0.002 98 5.1055 6.67199 4.98059
0.002 99 6.73381 6.60903 5.10161
0.003 0 0.176229 9.98295 0.147866
0.003 1 1.8223 0.181066 0.0694243
0.003 2 3.60213 0.245917 0.0128569
0.003 3 4.87841 9.99494 0.0597242
0.003 4 6.71756 0.258032 0.0868543
0.003 5 0.131381 1.64094 0.103809
0.003 6 1.77152 1.78382 0.0451936
0.003 7 3.28208 1.91163 0.00344229
0.003 8 5.05468 1.80783 0.234395
0.003 9 6.73507 1.69305 0.0398535
0.003 10 0.286678 3.32589 0.12841
0.003 11 1.72402 3.35254 0.0513981
0.003 12 3.38916 3.39563 9.82634
0.003 13 5.04867 3.40294 0.0262309
0.003 14 6.64406 3.2217 0.200097
0.003 15 0.258184 4.95104 0.0551453
0.003 16 1.71486 5.08955 0.135126
0.003 17 3.50792 4.95901 0.118353
0.003 18 4.93749 5.13361 0.0681386
0.003 19 6.55752 5.06483 0.229694
0.003 20 0.0918247 6.53635 0.242898
0.003 21 1.85069 6.64299 0.0881077
0.003 22 3.29239 6.61905 0.229517
0.003 23 4.85408 6.71781 0.113907
0.003 24 6.62888 6.68735 9.9979
0.003 25 0.103154 9.87813 2.0489
