Time(ns) Atom xvel(nm/ns) yvel(nm/ns) zvel(nm/ns)
0.003 40 -12.6922 36.4525 24.3541
0.003 41 16.7743 57.0354 32.7265
0.003 42 -20.8591 -40.4968 7.38822
0.003 43 -22.1697 -51.9726 -23.2628
0.003 44 59.3944 -33.3176 -16.1342
0.003 45 49.1387 -70 25.878
0.003 46 -1.74533 3.74856 -34.1379
0.003 47 -34.235 33.6055 0.743218
0.003 48 -6.8295 93.074 35.0849
0.003 49 -8.50441 25.2096 -0.0103466
0.003 50 44.8061 17.2012 -26.2295
0.003 51 -31.5641 -3.99934 -27.8851
0.003 52 -24.9309 -19.2623 20.2297
0.003 53 13.6416 41.6167 27.8941
0.003 54 -36.9446 -7.39913 1.66582
0.003 55 49.3471 18.7487 10.832
0.003 56 -3.34731 37.803 11.9957
0.003 57 25.5622 12.4747 25.5109
0.003 58 29.1035 14.9407 -12.8676
0.003 59 -19.4607 38.0594 -74.1701
0.003 60 57.1458 -20.198 -68.6621
0.003 61 50.4452 3.59117 -24.7723
0.003 62 32.3216 -56.9737 59.1934
0.003 63 -15.121 0.87967 16.6755
0.003 64 -25.7589 72.9933 40.9343
0.003 65 -11.5065 -11.7272 29.923
0.003 66 -60.8921 16.1621 -24.6831
0.003 67 -20.2792 -5.35851 -23.659
0.003 68 14.546 -58.6589 -19.7877
0.003 69 12.4872 -50.2655 52.551
0.003 70 3.95144 -58.7896 -4.80966
0.003 71 -71.7295 -10.2143 -20.1162
0.003 72 17.8712 17.2714 1.38699
0.003 73 -74.4203 -22.9191 -42.0914
0.003 74 -4.97307 4.60944 -56.4881
0.003 75 -32.7303 -17.0956 -8.7898
0.003 76 -23.7486 -15.6616 -41.0855
0.003 77 21.013 34.7909 -14.3642
0.003 78 -7.25912 9.43851 -1.65667
0.003 79 -6.96771 -31.1648 -3.96594
0.003 80 -40.1302 16.4475 -27.9615
0.003 81 -25.9039 -34.5645 2.02222
0.003 82 42.5878 7.06272 26.0645
0.003 83 -2.51593 -9.24781 -31.6863
0.003 84 26.9328 36.4917 13.571
0.003 85 -5.1627 -59.6936 -15.5023
0.003 86 -38.7817 58.6157 14.0348
0.003 87 15.2435 -6.32797 -38.3536
0.003 88 -13.3393 17.991 4.53429
0.003 89 -9.3117 35.6555 3.26292
0.003 90 -77.7981 -24.9094 3.92711
0.003 91 25.5925 -20.4361 -22.0008
0.003 92 62.0449 -61.2796 -29.1273
0.003 93 2.37408 -17.1235 21.5583
0.003 94 3.32789 -57.2754 25.4198
0.003 95 35.9625 59.9278 32.4666
